,Behaviour,Actor,Receiver,Focal,T_start,T_stop,period,treatment_rep,duration,RowID,BEH_AW,notes
279,SG,1,NA,1,2021-03-16 12:15:45,2021-03-16 12:16:13,post,R3SP,27.6252000331879,242,SG,TOP
280,T,1,18,1,2021-03-16 12:16:16,2021-03-16 12:16:22,post,R3SP,5.87504148483276,243,T,
284,G,1,5,1,2021-03-16 12:17:07,2021-03-16 12:17:39,post,R3SP,31.2502791881561,247,G,
291,SG,1,NA,1,2021-03-16 12:20:26,2021-03-16 12:20:30,post,R3SP,3.99992799758911,254,SG,TOP
292,SG,1,NA,1,2021-03-16 12:20:31,2021-03-16 12:20:46,post,R3SP,14.8751533031464,255,SG,
294,SG,1,NA,1,2021-03-16 12:22:58,2021-03-16 12:23:09,post,R3SP,10.8751208782196,257,SG,
296,SG,1,NA,1,2021-03-16 12:23:44,2021-03-16 12:24:15,post,R3SP,31.1252121925354,259,SG,
568,G,1,20,1,2021-03-16 12:41:45,2021-03-16 12:41:56,post,R3SP,10.9999520778656,464,G,
300,SG,2,NA,2,2021-03-16 12:13:29,2021-03-16 12:13:37,post,R3SP,8.37506985664368,263,SG,
304,G,2,5,2,2021-03-16 12:14:40,2021-03-16 12:15:33,post,R3SP,52.8753254413605,267,G,
305,SG,2,NA,2,2021-03-16 12:15:35,2021-03-16 12:15:44,post,R3SP,8.37502121925354,268,SG,
307,SG,2,NA,2,2021-03-16 12:16:55,2021-03-16 12:16:56,post,R3SP,1.25004577636719,270,SG,
310,SG,2,NA,2,2021-03-16 12:18:15,2021-03-16 12:18:24,post,R3SP,8.12506031990051,273,SG,
311,SG,2,NA,2,2021-03-16 12:18:27,2021-03-16 12:18:30,post,R3SP,2.49997186660767,274,SG,
318,SG,2,NA,2,2021-03-16 12:22:05,2021-03-16 12:22:14,post,R3SP,8.87509536743164,281,SG,Very close to another ant but not grooming
319,SG,2,NA,2,2021-03-16 12:22:18,2021-03-16 12:22:49,post,R3SP,30.8752639293671,282,SG,
574,FR,2,24,2,2021-03-16 12:38:15,2021-03-16 12:38:26,post,R3SP,10.8750958442688,469,T,
324,FR,3,6,3,2021-03-16 12:25:07,2021-03-16 12:25:20,post,R3SP,13.8750302791595,287,T,
328,SG,3,NA,3,2021-03-16 12:27:21,2021-03-16 12:27:28,post,R3SP,7.00011420249939,291,SG,
329,CR,4,17,4,2021-03-16 12:13:47,2021-03-16 12:13:49,post,R3SP,1.87501335144043,292,CR,
332,SG,4,NA,4,2021-03-16 12:14:34,2021-03-16 12:14:59,post,R3SP,24.8751859664917,295,SG,
338,SG,4,NA,4,2021-03-16 12:16:59,2021-03-16 12:17:06,post,R3SP,7.1249885559082,301,,
339,SG,4,NA,4,2021-03-16 12:18:16,2021-03-16 12:18:17,post,R3SP,1.25001358985901,302,,
341,FR,4,13,4,2021-03-16 12:20:28,2021-03-16 12:20:31,post,R3SP,2.62492895126343,304,,
344,SG,4,NA,4,2021-03-16 12:22:11,2021-03-16 12:22:22,post,R3SP,10.8751282691956,307,,
346,FR,4,20,4,2021-03-16 12:23:49,2021-03-16 12:23:53,post,R3SP,3.49997115135193,309,,
582,FR,4,28,4,2021-03-16 12:30:50,2021-03-16 12:30:59,post,R3SP,9.75010275840759,476,,
380,FR,6,15,6,2021-03-16 12:27:11,2021-03-16 12:27:16,post,R3SP,5.37516093254089,321,,
382,SG,7,NA,7,2021-03-16 12:17:17,2021-03-16 12:17:24,post,R3SP,7.37508940696716,323,,
388,SG,7,NA,7,2021-03-16 12:21:46,2021-03-16 12:21:51,post,R3SP,5.50003337860107,327,,
600,GQ,7,29,7,2021-03-16 12:34:43,2021-03-16 12:34:53,post,R3SP,10.250067949295,482,,
398,FR,8,23,8,2021-03-16 12:24:01,2021-03-16 12:24:07,post,R3SP,6.12502074241638,335,,
605,SG,8,NA,8,2021-03-16 12:32:22,2021-03-16 12:36:03,post,R3SP,221.001495599747,487,,
611,SG,9,NA,9,2021-03-16 12:29:36,2021-03-16 12:29:40,post,R3SP,4.12502598762512,492,,
615,SG,10,NA,10,2021-03-16 12:41:42,2021-03-16 12:42:04,post,R3SP,22.7498846054077,496,,
617,SG,11,NA,11,2021-03-16 12:28:59,2021-03-16 12:29:16,post,R3SP,16.6250667572021,498,,
618,FR,11,3,11,2021-03-16 12:29:19,2021-03-16 12:29:24,post,R3SP,4.75003719329834,499,,
621,SG,11,NA,11,2021-03-16 12:31:35,2021-03-16 12:31:43,post,R3SP,7.62522459030151,502,,
624,SG,11,NA,11,2021-03-16 12:32:18,2021-03-16 12:32:24,post,R3SP,6.62510180473328,505,,
625,SG,11,NA,11,2021-03-16 12:32:27,2021-03-16 12:32:39,post,R3SP,12.3749730587006,506,,
407,SG,12,NA,12,2021-03-16 12:13:22,2021-03-16 12:13:45,post,R3SP,23.5001652240753,341,,
411,SG,13,NA,13,2021-03-16 12:15:42,2021-03-16 12:15:47,post,R3SP,4.87507796287537,345,,
412,SG,13,NA,13,2021-03-16 12:15:53,2021-03-16 12:16:15,post,R3SP,22.5001490116119,346,,
413,CR,13,27,13,2021-03-16 12:21:22,2021-03-16 12:23:19,post,R3SP,116.876032829285,347,,
424,SG,15,NA,15,2021-03-16 12:26:39,2021-03-16 12:27:03,post,R3SP,24.6252403259277,355,,
426,SG,15,NA,15,2021-03-16 12:27:20,2021-03-16 12:27:56,post,R3SP,36.2500870227814,356,,
643,SG,15,NA,15,2021-03-16 12:41:18,2021-03-16 12:41:33,post,R3SP,15.5001118183136,523,,
431,TB,16,NA,16,2021-03-16 12:22:44,2021-03-16 12:22:50,post,R3SP,6.25004363059998,361,,
434,SG,16,NA,16,2021-03-16 12:24:48,2021-03-16 12:24:54,post,R3SP,6.12509942054749,364,,
646,SG,16,NA,16,2021-03-16 12:30:43,2021-03-16 12:30:47,post,R3SP,3.12498068809509,526,,
649,SG,16,NA,16,2021-03-16 12:41:48,2021-03-16 12:41:52,post,R3SP,3.99991893768311,529,,
462,SG,18,NA,18,2021-03-16 12:13:50,2021-03-16 12:13:56,post,R3SP,5.74998998641968,373,,
466,SG,18,NA,18,2021-03-16 12:19:25,2021-03-16 12:19:30,post,R3SP,4.74993395805359,375,,
467,SG,18,NA,18,2021-03-16 12:19:41,2021-03-16 12:19:53,post,R3SP,12.3750658035278,376,,
468,SG,18,NA,18,2021-03-16 12:19:57,2021-03-16 12:20:12,post,R3SP,15.2500910758972,377,,
470,A,18,7,18,2021-03-16 12:23:10,2021-03-16 12:23:14,post,R3SP,3.5000364780426,379,,
472,G,18,5,18,2021-03-16 12:25:50,2021-03-16 12:26:41,post,R3SP,50.7503268718719,381,,
474,SG,18,NA,18,2021-03-16 12:27:20,2021-03-16 12:27:37,post,R3SP,16.6250994205475,383,,
661,SG,18,NA,18,2021-03-16 12:28:38,2021-03-16 12:28:45,post,R3SP,6.99990653991699,533,,
662,SG,18,NA,18,2021-03-16 12:28:48,2021-03-16 12:28:50,post,R3SP,1.8750102519989,534,,
669,G,18,5,18,2021-03-16 12:30:54,2021-03-16 12:31:02,post,R3SP,8.00039291381836,541,,
671,SG,18,NA,18,2021-03-16 12:31:59,2021-03-16 12:32:19,post,R3SP,20.3750581741333,543,,
475,SG,19,NA,19,2021-03-16 12:13:23,2021-03-16 12:14:10,post,R3SP,46.7503383159637,384,,
476,SG,19,NA,19,2021-03-16 12:14:18,2021-03-16 12:14:34,post,R3SP,15.9999918937683,385,,
479,TB,19,NA,19,2021-03-16 12:19:57,2021-03-16 12:20:06,post,R3SP,8.87502861022949,388,,
480,SG,19,NA,19,2021-03-16 12:21:01,2021-03-16 12:21:05,post,R3SP,3.75002551078796,389,,
481,TB,19,NA,19,2021-03-16 12:21:15,2021-03-16 12:21:40,post,R3SP,25.625116109848,390,,
486,SG,20,NA,20,2021-03-16 12:16:45,2021-03-16 12:17:09,post,R3SP,24.5002007484436,395,,
487,SG,20,NA,20,2021-03-16 12:17:27,2021-03-16 12:17:58,post,R3SP,31.0001766681671,396,,
689,SG,20,NA,20,2021-03-16 12:29:30,2021-03-16 12:31:10,post,R3SP,100.250704288483,560,,
695,SG,20,NA,20,2021-03-16 12:33:10,2021-03-16 12:33:14,post,R3SP,4.62509632110596,564,,
494,TB,22,NA,22,2021-03-16 12:17:15,2021-03-16 12:18:20,post,R3SP,64.5003705024719,400,,
502,SG,22,NA,22,2021-03-16 12:24:53,2021-03-16 12:26:03,post,R3SP,70.2505052089691,407,,
702,SG,22,NA,22,2021-03-16 12:28:26,2021-03-16 12:28:46,post,R3SP,20.1250624656677,568,,
703,SG,22,NA,22,2021-03-16 12:29:19,2021-03-16 12:29:20,post,R3SP,1.87486743927002,569,,
705,SG,22,NA,22,2021-03-16 12:30:42,2021-03-16 12:32:31,post,R3SP,109.625698566437,571,,
521,CR,23,8,23,2021-03-16 12:25:12,2021-03-16 12:25:57,post,R3SP,44.6252644062042,424,,
715,G,23,8,23,2021-03-16 12:37:42,2021-03-16 12:37:53,post,R3SP,11.12513256073,581,,
525,SG,24,NA,24,2021-03-16 12:19:06,2021-03-16 12:19:16,post,R3SP,10.3750729560852,428,,
528,SG,24,NA,24,2021-03-16 12:25:52,2021-03-16 12:26:13,post,R3SP,20.7500796318054,431,,
530,G,24,17,24,2021-03-16 12:27:12,2021-03-16 12:27:58,post,R3SP,45.25031042099,433,,
531,SG,24,NA,24,2021-03-16 12:28:01,2021-03-16 12:28:04,post,R3SP,2.75001621246338,434,,
721,SG,24,NA,24,2021-03-16 12:29:01,2021-03-16 12:29:09,post,R3SP,8.37499356269836,586,,
726,SG,24,NA,24,2021-03-16 12:32:04,2021-03-16 12:32:15,post,R3SP,10.7500624656677,590,,
727,SG,24,NA,24,2021-03-16 12:32:16,2021-03-16 12:32:22,post,R3SP,6.25010204315186,591,,
729,SG,24,NA,24,2021-03-16 12:33:44,2021-03-16 12:33:51,post,R3SP,6.87503385543823,593,,
732,G,24,17,24,2021-03-16 12:36:37,2021-03-16 12:37:13,post,R3SP,36.1252701282501,596,,
535,SG,25,NA,25,2021-03-16 12:21:05,2021-03-16 12:21:10,post,R3SP,4.37514543533325,438,,
542,G,26,17,26,2021-03-16 12:17:16,2021-03-16 12:17:22,post,R3SP,6.50007557868958,445,,
549,G,26,14,26,2021-03-16 12:19:16,2021-03-16 12:19:32,post,R3SP,15.2500791549683,451,,
552,SG,26,NA,26,2021-03-16 12:26:52,2021-03-16 12:26:54,post,R3SP,1.2500536441803,454,,
740,SG,26,NA,26,2021-03-16 12:36:12,2021-03-16 12:36:15,post,R3SP,3.12502264976501,599,,
553,SG,27,NA,27,2021-03-16 12:13:28,2021-03-16 12:14:09,post,R3SP,40.1253106594086,455,,
749,CB,27,NA,27,2021-03-16 12:30:34,2021-03-16 12:30:42,post,R3SP,8.00005698204041,608,,
752,CR,27,20,27,2021-03-16 12:32:46,2021-03-16 12:32:47,post,R3SP,1.50000691413879,611,,
754,G,27,5,27,2021-03-16 12:40:02,2021-03-16 12:40:14,post,R3SP,12.4999957084656,612,,
755,SG,27,NA,27,2021-03-16 12:41:08,2021-03-16 12:41:22,post,R3SP,13.5001454353333,613,,
558,SG,28,NA,28,2021-03-16 12:14:34,2021-03-16 12:15:01,post,R3SP,26.8752744197845,456,,
6,SG,1,NA,1,2021-03-15 12:16:38,2021-03-15 12:24:06,pre,R3SP,448.128426074982,6,,
9,SG,1,NA,1,2021-03-15 12:25:15,2021-03-15 12:25:31,pre,R3SP,15.7500488758087,8,,
109,SG,1,NA,1,2021-03-15 12:32:16,2021-03-15 12:32:18,pre,R3SP,2.00005459785461,101,,
111,SG,1,NA,1,2021-03-15 12:35:41,2021-03-15 12:35:47,pre,R3SP,5.75003433227539,103,,
114,SG,1,NA,1,2021-03-15 12:37:01,2021-03-15 12:37:08,pre,R3SP,6.8750581741333,106,,
117,SG,1,NA,1,2021-03-15 12:39:31,2021-03-15 12:40:14,pre,R3SP,43.1252937316895,109,,
14,TB,2,NA,2,2021-03-15 12:17:50,2021-03-15 12:18:13,pre,R3SP,22.8751699924469,13,,
120,FR,2,9,2,2021-03-15 12:31:56,2021-03-15 12:32:00,pre,R3SP,3.75004696846008,112,,
121,SG,2,NA,2,2021-03-15 12:32:03,2021-03-15 12:32:04,pre,R3SP,1.37501168251038,113,,
124,SG,2,NA,2,2021-03-15 12:33:19,2021-03-15 12:33:25,pre,R3SP,5.37509775161743,116,,
129,T,2,14,2,2021-03-15 12:36:51,2021-03-15 12:37:35,pre,R3SP,44.5002813339233,120,,
134,T,2,23,2,2021-03-15 12:42:47,2021-03-15 12:43:03,pre,R3SP,16.5001559257507,125,,
135,FR,3,18,3,2021-03-15 12:33:49,2021-03-15 12:33:51,pre,R3SP,1.62492561340332,126,,
136,FR,3,24,3,2021-03-15 12:34:09,2021-03-15 12:34:11,pre,R3SP,1.87508130073547,127,,
144,SG,4,NA,4,2021-03-15 12:36:37,2021-03-15 12:36:40,pre,R3SP,2.99994444847107,135,,
145,T,4,20,4,2021-03-15 12:36:48,2021-03-15 12:36:57,pre,R3SP,9.62516593933105,136,,
151,SG,4,NA,4,2021-03-15 12:41:17,2021-03-15 12:41:33,pre,R3SP,15.7501952648163,142,,
161,SG,6,NA,6,2021-03-15 12:38:12,2021-03-15 12:38:17,pre,R3SP,5.25014567375183,149,,
28,T,7,11,7,2021-03-15 12:23:28,2021-03-15 12:23:45,pre,R3SP,17.5001034736633,24,,
164,SG,7,NA,7,2021-03-15 12:29:35,2021-03-15 12:29:40,pre,R3SP,4.24987459182739,152,,
165,SG,7,NA,7,2021-03-15 12:30:33,2021-03-15 12:31:02,pre,R3SP,28.6251831054688,153,,
167,SG,7,NA,7,2021-03-15 12:38:06,2021-03-15 12:38:08,pre,R3SP,1.75001215934753,155,,
172,SG,8,NA,8,2021-03-15 12:37:56,2021-03-15 12:38:17,pre,R3SP,20.5001356601715,160,,
31,SG,9,NA,9,2021-03-15 12:20:51,2021-03-15 12:20:58,pre,R3SP,6.50005698204041,27,,
32,SG,9,NA,9,2021-03-15 12:21:08,2021-03-15 12:21:19,pre,R3SP,11.3750882148743,28,,
33,SG,9,NA,9,2021-03-15 12:22:03,2021-03-15 12:22:11,pre,R3SP,7.75001096725464,29,,
178,SG,9,NA,9,2021-03-15 12:28:22,2021-03-15 12:28:46,pre,R3SP,24.5001962184906,166,,
182,SG,9,NA,9,2021-03-15 12:32:04,2021-03-15 12:32:07,pre,R3SP,2.87501525878906,169,,
183,SG,9,NA,9,2021-03-15 12:35:45,2021-03-15 12:35:50,pre,R3SP,4.50009870529175,170,,
184,SG,9,NA,9,2021-03-15 12:38:35,2021-03-15 12:38:42,pre,R3SP,7.50005531311035,171,,
185,SG,9,NA,9,2021-03-15 12:39:07,2021-03-15 12:39:15,pre,R3SP,8.50006151199341,172,,
41,SG,10,NA,10,2021-03-15 12:18:12,2021-03-15 12:18:19,pre,R3SP,6.74996161460876,37,,
42,SG,10,NA,10,2021-03-15 12:19:09,2021-03-15 12:19:19,pre,R3SP,10.7501585483551,38,,
193,SG,10,NA,10,2021-03-15 12:42:12,2021-03-15 12:42:29,pre,R3SP,17.2501392364502,180,,
49,SG,11,NA,11,2021-03-15 12:20:21,2021-03-15 12:20:29,pre,R3SP,7.75011324882507,45,,
196,SG,11,NA,11,2021-03-15 12:31:37,2021-03-15 12:32:18,pre,R3SP,40.6252722740173,183,,
197,CR,11,27,11,2021-03-15 12:34:48,2021-03-15 12:34:53,pre,R3SP,4.87500524520874,184,,
210,FR,14,23,14,2021-03-15 12:30:36,2021-03-15 12:31:44,pre,R3SP,67.875527381897,195,,
218,CR,15,8,15,2021-03-15 12:35:31,2021-03-15 12:36:12,pre,R3SP,40.375301361084,197,,
220,SG,16,NA,16,2021-03-15 12:32:40,2021-03-15 12:32:43,pre,R3SP,3.49994611740112,198,,
224,SG,16,NA,16,2021-03-15 12:38:40,2021-03-15 12:38:58,pre,R3SP,18.1255974769592,201,,
226,SG,16,NA,16,2021-03-15 12:42:24,2021-03-15 12:43:21,pre,R3SP,57.00031208992,203,,
231,SG,18,NA,18,2021-03-15 12:33:35,2021-03-15 12:33:42,pre,R3SP,7.12500548362732,208,,
65,SG,19,NA,19,2021-03-15 12:13:36,2021-03-15 12:13:56,pre,R3SP,19.6254742145538,60,,
67,SG,19,NA,19,2021-03-15 12:14:51,2021-03-15 12:14:53,pre,R3SP,1.74994134902954,62,,
68,SG,19,NA,19,2021-03-15 12:15:11,2021-03-15 12:15:13,pre,R3SP,1.8747386932373,63,,
69,G,19,21,19,2021-03-15 12:16:36,2021-03-15 12:16:45,pre,R3SP,9.25011801719666,64,,
234,TQ,19,29,19,2021-03-15 12:31:12,2021-03-15 12:31:20,pre,R3SP,8.62507629394531,211,,
80,CR,21,6,21,2021-03-15 12:25:52,2021-03-15 12:28:22,pre,R3SP,149.626005172729,74,,
81,SG,22,NA,22,2021-03-15 12:18:18,2021-03-15 12:18:25,pre,R3SP,7.12511277198792,75,,
85,SG,22,NA,22,2021-03-15 12:21:59,2021-03-15 12:22:02,pre,R3SP,2.6254563331604,79,,
249,SG,22,NA,22,2021-03-15 12:37:59,2021-03-15 12:38:04,pre,R3SP,4.87503361701965,222,,
88,SG,24,NA,24,2021-03-15 12:15:34,2021-03-15 12:16:09,pre,R3SP,35.2506268024445,81,,
92,SG,24,NA,24,2021-03-15 12:19:44,2021-03-15 12:19:52,pre,R3SP,8.00005698204041,85,,
257,SG,24,NA,24,2021-03-15 12:33:56,2021-03-15 12:34:05,pre,R3SP,9.24997568130493,227,,
263,SG,24,NA,24,2021-03-15 12:43:12,2021-03-15 12:43:21,pre,R3SP,9.25018572807312,231,,
97,SG,25,NA,25,2021-03-15 12:26:33,2021-03-15 12:27:42,pre,R3SP,68.5008592605591,90,,
266,SG,26,NA,26,2021-03-15 12:29:46,2021-03-15 12:29:48,pre,R3SP,1.62499833106995,234,,
103,SG,27,NA,27,2021-03-15 12:20:20,2021-03-15 12:21:16,pre,R3SP,55.499899148941,95,,
104,SG,28,NA,28,2021-03-15 12:15:26,2021-03-15 12:15:47,pre,R3SP,20.5004975795746,96,,
1096,SG,1,NA,1,2021-04-27 11:01:07,2021-04-27 11:01:45,post,R9SP,37.6253499984741,901,,
1100,FR,2,28,2,2021-04-27 11:09:09,2021-04-27 11:09:13,post,R9SP,4.00004863739014,904,,
1102,SG,3,NA,3,2021-04-27 10:56:20,2021-04-27 10:56:28,post,R9SP,7.50007510185242,906,,
1104,SG,3,NA,3,2021-04-27 10:58:35,2021-04-27 10:58:39,post,R9SP,3.5000433921814,908,,
1116,SG,3,NA,3,2021-04-27 11:10:45,2021-04-27 11:10:55,post,R9SP,10.1250970363617,918,,
1420,T,3,4,3,2021-04-27 11:16:54,2021-04-27 11:17:29,post,R9SP,35.12544465065,1162,,
1423,SG,3,NA,3,2021-04-27 11:20:27,2021-04-27 11:20:47,post,R9SP,19.7501993179321,1164,,
1119,SG,4,NA,4,2021-04-27 11:01:04,2021-04-27 11:01:29,post,R9SP,24.875203371048,921,,
1120,CR,4,19,4,2021-04-27 11:05:03,2021-04-27 11:05:26,post,R9SP,23.6252107620239,922,,
1122,CR,4,19,4,2021-04-27 11:08:28,2021-04-27 11:08:32,post,R9SP,4.25005650520325,924,,
1124,FR,4,33,4,2021-04-27 11:09:58,2021-04-27 11:10:17,post,R9SP,19.5001738071442,926,,
1134,CB,5,NA,5,2021-04-27 11:06:56,2021-04-27 11:07:10,post,R9SP,13.3751850128174,936,,
1135,CB,5,NA,5,2021-04-27 11:07:44,2021-04-27 11:07:57,post,R9SP,13.2500629425049,937,,
1137,SG,5,NA,5,2021-04-27 11:08:24,2021-04-27 11:08:30,post,R9SP,5.75006580352783,939,,
1139,SG,5,NA,5,2021-04-27 11:09:23,2021-04-27 11:09:25,post,R9SP,2.12501168251038,941,,
1435,SG,5,NA,5,2021-04-27 11:11:33,2021-04-27 11:11:41,post,R9SP,8.12551712989807,1174,,
1442,SG,5,NA,5,2021-04-27 11:22:11,2021-04-27 11:22:18,post,R9SP,7.37509918212891,1181,,
1443,G,5,32,5,2021-04-27 11:22:33,2021-04-27 11:22:37,post,R9SP,3.50003862380981,1182,,
1444,A,5,32,5,2021-04-27 11:22:38,2021-04-27 11:22:42,post,R9SP,3.62500834465027,1183,,
1445,G,5,32,5,2021-04-27 11:22:42,2021-04-27 11:23:12,post,R9SP,30.2503807544708,1184,,
