Behaviour,Actor,Receiver,T_start,T_stop,treatment_rep
T,4,20,2021-03-16T12:19:42.047811152Z,2021-03-16T12:19:50.172854242Z,R3SP
SG,18,NA,2021-03-16T12:19:41.047757093Z,2021-03-16T12:19:53.422823029Z,R3SP
TB,22,NA,2021-03-16T12:19:30.547703280Z,2021-03-16T12:19:57.922908873Z,R3SP
SG,18,NA,2021-03-16T12:19:25.422710738Z,2021-03-16T12:19:30.172644501Z,R3SP
SG,2,NA,2021-03-16T12:19:21.672650503Z,2021-03-16T12:19:37.172757026Z,R3SP
SG,7,NA,2021-03-16T12:19:19.797632452Z,2021-03-16T12:19:50.547854390Z,R3SP
TB,19,NA,2021-03-16T12:19:18.422644804Z,2021-03-16T12:19:27.422681212Z,R3SP
G,26,14,2021-03-16T12:19:16.922639654Z,2021-03-16T12:19:32.172718779Z,R3SP
G,26,14,2021-03-16T12:19:16.922639654Z,2021-03-16T12:19:32.172718779Z,R3SP
CR,25,27,2021-03-16T12:19:15.797607599Z,2021-03-16T12:20:27.673116428Z,R3SP
CR,25,27,2021-03-16T12:19:15.797607599Z,2021-03-16T12:20:27.673116428Z,R3SP
SG,5,NA,2021-03-16T12:19:15.547606659Z,2021-03-16T12:19:21.047658731Z,R3SP
SG,24,NA,2021-03-16T12:19:06.172543374Z,2021-03-16T12:19:16.547616128Z,R3SP
SG,1,NA,2021-03-16T12:19:02.047468999Z,2021-03-16T12:19:30.172644501Z,R3SP
FR,1,26,2021-03-16T12:18:49.672427106Z,2021-03-16T12:18:51.547438394Z,R3SP
FR,26,1,2021-03-16T12:18:49.672427106Z,2021-03-16T12:18:51.547438394Z,R3SP
TB,2,NA,2021-03-16T12:18:46.297409708Z,2021-03-16T12:19:00.172435337Z,R3SP
T,7,18,2021-03-16T12:18:39.047350340Z,2021-03-16T12:19:10.797521246Z,R3SP
T,18,7,2021-03-16T12:18:39.047350340Z,2021-03-16T12:19:10.797521246Z,R3SP
SG,26,NA,2021-03-16T12:18:37.797346027Z,2021-03-16T12:18:43.422382047Z,R3SP
SG,2,NA,2021-03-16T12:18:35.422274080Z,2021-03-16T12:18:45.797403645Z,R3SP
SG,24,NA,2021-03-16T12:18:31.797296856Z,2021-03-16T12:18:38.797363126Z,R3SP
SG,2,NA,2021-03-16T12:18:27.797282516Z,2021-03-16T12:18:30.297254252Z,R3SP
SG,26,NA,2021-03-16T12:18:22.672246910Z,2021-03-16T12:18:25.422254263Z,R3SP
SG,1,NA,2021-03-16T12:18:21.672225769Z,2021-03-16T12:18:26.797279859Z,R3SP
SG,4,NA,2021-03-16T12:18:16.172140519Z,2021-03-16T12:18:17.422154303Z,R3SP
SG,2,NA,2021-03-16T12:18:15.922140761Z,2021-03-16T12:18:24.047201065Z,R3SP
SG,1,NA,2021-03-16T12:18:08.922149815Z,2021-03-16T12:18:17.672170047Z,R3SP
SG,2,NA,2021-03-16T12:18:01.922100426Z,2021-03-16T12:18:14.547192537Z,R3SP
CR,23,17,2021-03-16T12:17:56.172048669Z,2021-03-16T12:17:59.297075861Z,R3SP
CR,23,17,2021-03-16T12:17:56.172048669Z,2021-03-16T12:17:59.297075861Z,R3SP
G,26,17,2021-03-16T12:17:53.672044709Z,2021-03-16T12:18:19.172162274Z,R3SP
G,26,17,2021-03-16T12:17:53.672044709Z,2021-03-16T12:18:19.172162274Z,R3SP
A,26,17,2021-03-16T12:17:49.297018647Z,2021-03-16T12:17:50.921968859Z,R3SP
A,26,17,2021-03-16T12:17:49.297018647Z,2021-03-16T12:17:50.921968859Z,R3SP
G,1,5,2021-03-16T12:17:46.672001592Z,2021-03-16T12:17:58.547074614Z,R3SP
G,1,5,2021-03-16T12:17:46.672001592Z,2021-03-16T12:17:58.547074614Z,R3SP
SG,2,NA,2021-03-16T12:17:41.046956034Z,2021-03-16T12:17:42.796910186Z,R3SP
SG,20,NA,2021-03-16T12:17:27.671864630Z,2021-03-16T12:17:58.672041501Z,R3SP
G,26,17,2021-03-16T12:17:26.171797232Z,2021-03-16T12:17:47.672011526Z,R3SP
G,26,17,2021-03-16T12:17:26.171797232Z,2021-03-16T12:17:47.672011526Z,R3SP
SG,23,NA,2021-03-16T12:17:23.796821376Z,2021-03-16T12:17:44.296979232Z,R3SP
A,26,17,2021-03-16T12:17:22.546824029Z,2021-03-16T12:17:24.171835315Z,R3SP
GQ,24,29,2021-03-16T12:17:17.671790430Z,2021-03-16T12:17:19.546823848Z,R3SP
GQ,24,29,2021-03-16T12:17:17.671790430Z,2021-03-16T12:17:19.546823848Z,R3SP
SG,7,NA,2021-03-16T12:17:17.546770334Z,2021-03-16T12:17:24.921859854Z,R3SP
G,26,17,2021-03-16T12:17:16.046748403Z,2021-03-16T12:17:22.546824029Z,R3SP
G,26,17,2021-03-16T12:17:16.046748403Z,2021-03-16T12:17:22.546824029Z,R3SP
TB,22,NA,2021-03-16T12:17:15.546799419Z,2021-03-16T12:18:20.047169917Z,R3SP
G,1,5,2021-03-16T12:17:07.796671644Z,2021-03-16T12:17:39.046950765Z,R3SP
G,1,5,2021-03-16T12:17:07.796671644Z,2021-03-16T12:17:39.046950765Z,R3SP
SG,4,NA,2021-03-16T12:16:59.046729237Z,2021-03-16T12:17:06.171717902Z,R3SP
G,26,17,2021-03-16T12:16:56.796653335Z,2021-03-16T12:17:13.296772174Z,R3SP
G,26,17,2021-03-16T12:16:56.796653335Z,2021-03-16T12:17:13.296772174Z,R3SP
SG,2,NA,2021-03-16T12:16:55.296637366Z,2021-03-16T12:16:56.546683157Z,R3SP
G,23,17,2021-03-16T12:16:50.921552663Z,2021-03-16T12:17:02.296629230Z,R3SP
G,23,17,2021-03-16T12:16:50.921552663Z,2021-03-16T12:17:02.296629230Z,R3SP
SG,20,NA,2021-03-16T12:16:45.046582709Z,2021-03-16T12:17:09.546783459Z,R3SP
TB,4,NA,2021-03-16T12:16:44.421561285Z,2021-03-16T12:16:48.296595610Z,R3SP
SG,5,NA,2021-03-16T12:16:43.171559616Z,2021-03-16T12:17:05.796757027Z,R3SP
SG,1,NA,2021-03-16T12:16:40.796537655Z,2021-03-16T12:17:02.546675891Z,R3SP
SG,1,NA,2021-03-16T12:16:35.921449292Z,2021-03-16T12:16:39.546527122Z,R3SP
SG,1,NA,2021-03-16T12:16:29.296395556Z,2021-03-16T12:16:32.546480073Z,R3SP
SG,20,NA,2021-03-16T12:16:25.546413183Z,2021-03-16T12:16:33.296530247Z,R3SP
T,1,18,2021-03-16T12:16:16.421366854Z,2021-03-16T12:16:22.296408408Z,R3SP
T,18,1,2021-03-16T12:16:16.421366854Z,2021-03-16T12:16:22.296408408Z,R3SP
G,20,17,2021-03-16T12:16:13.296355954Z,2021-03-16T12:16:16.296383185Z,R3SP
SG,4,NA,2021-03-16T12:16:09.296248294Z,2021-03-16T12:16:17.046439343Z,R3SP
G,26,17,2021-03-16T12:16:02.796223912Z,2021-03-16T12:16:16.796392624Z,R3SP
G,26,17,2021-03-16T12:16:02.796223912Z,2021-03-16T12:16:16.796392624Z,R3SP
SG,13,NA,2021-03-16T12:15:53.296234844Z,2021-03-16T12:16:15.796383851Z,R3SP
SG,14,NA,2021-03-16T12:15:52.671202007Z,2021-03-16T12:15:54.921214021Z,R3SP
G,2,5,2021-03-16T12:15:48.296175225Z,2021-03-16T12:16:30.171453926Z,R3SP
G,2,5,2021-03-16T12:15:48.296175225Z,2021-03-16T12:16:30.171453926Z,R3SP
SG,26,NA,2021-03-16T12:15:46.921168977Z,2021-03-16T12:15:52.421200493Z,R3SP
SG,1,NA,2021-03-16T12:15:45.796144919Z,2021-03-16T12:16:13.421345007Z,R3SP
SG,13,NA,2021-03-16T12:15:42.796096356Z,2021-03-16T12:15:47.671174342Z,R3SP
G,4,5,2021-03-16T12:15:36.421093520Z,2021-03-16T12:16:06.296225448Z,R3SP
G,4,5,2021-03-16T12:15:36.421093520Z,2021-03-16T12:16:06.296225448Z,R3SP
SG,2,NA,2021-03-16T12:15:35.796114178Z,2021-03-16T12:15:44.171135472Z,R3SP
CR,20,14,2021-03-16T12:15:34.296090322Z,2021-03-16T12:15:43.671134680Z,R3SP
CR,20,14,2021-03-16T12:15:34.296090322Z,2021-03-16T12:15:43.671134680Z,R3SP
A,4,5,2021-03-16T12:15:32.796073519Z,2021-03-16T12:15:34.796083336Z,R3SP
A,4,5,2021-03-16T12:15:32.796073519Z,2021-03-16T12:15:34.796083336Z,R3SP
CR,25,27,2021-03-16T12:15:32.046074947Z,2021-03-16T12:17:34.421854127Z,R3SP
CR,25,27,2021-03-16T12:15:32.046074947Z,2021-03-16T12:17:34.421854127Z,R3SP
SG,13,NA,2021-03-16T12:15:12.170929531Z,2021-03-16T12:15:25.796018277Z,R3SP
SG,8,NA,2021-03-16T12:15:11.170859789Z,2021-03-16T12:16:21.671409140Z,R3SP
SG,4,NA,2021-03-16T12:15:04.545881402Z,2021-03-16T12:15:13.670940279Z,R3SP
SG,10,NA,2021-03-16T12:15:03.170873548Z,2021-03-16T12:16:00.046297246Z,R3SP
G,26,17,2021-03-16T12:14:42.920693346Z,2021-03-16T12:15:44.671107482Z,R3SP
G,26,17,2021-03-16T12:14:42.920693346Z,2021-03-16T12:15:44.671107482Z,R3SP
G,2,5,2021-03-16T12:14:40.795715400Z,2021-03-16T12:15:33.671040861Z,R3SP
G,2,5,2021-03-16T12:14:40.795715400Z,2021-03-16T12:15:33.671040861Z,R3SP
G,23,17,2021-03-16T12:14:40.420656092Z,2021-03-16T12:14:46.295740202Z,R3SP
G,23,17,2021-03-16T12:14:40.420656092Z,2021-03-16T12:14:46.295740202Z,R3SP
SG,26,NA,2021-03-16T12:14:38.420699944Z,2021-03-16T12:14:42.045718221Z,R3SP
SG,2,NA,2021-03-16T12:14:35.420618815Z,2021-03-16T12:14:37.545735538Z,R3SP
SG,4,NA,2021-03-16T12:14:34.670680752Z,2021-03-16T12:14:59.545866814Z,R3SP
SG,28,NA,2021-03-16T12:14:34.420611085Z,2021-03-16T12:15:01.295885552Z,R3SP
SG,13,NA,2021-03-16T12:14:32.670678375Z,2021-03-16T12:14:53.170778216Z,R3SP
A,23,17,2021-03-16T12:14:27.295608111Z,2021-03-16T12:14:38.295644065Z,R3SP
A,23,17,2021-03-16T12:14:27.295608111Z,2021-03-16T12:14:38.295644065Z,R3SP
SG,10,NA,2021-03-16T12:14:24.670575663Z,2021-03-16T12:14:46.920701572Z,R3SP
G,23,17,2021-03-16T12:14:20.920574587Z,2021-03-16T12:14:27.545628334Z,R3SP
G,23,17,2021-03-16T12:14:20.920574587Z,2021-03-16T12:14:27.545628334Z,R3SP
FR,4,28,2021-03-16T12:14:20.545606687Z,2021-03-16T12:14:22.920532773Z,R3SP
FR,28,4,2021-03-16T12:14:20.545606687Z,2021-03-16T12:14:22.920532773Z,R3SP
SG,11,NA,2021-03-16T12:14:20.045615362Z,2021-03-16T12:14:46.545762662Z,R3SP
SG,19,NA,2021-03-16T12:14:18.545634850Z,2021-03-16T12:14:34.545626620Z,R3SP
SG,8,NA,2021-03-16T12:14:17.920558056Z,2021-03-16T12:14:30.670703833Z,R3SP
SG,2,NA,2021-03-16T12:14:11.545501422Z,2021-03-16T12:14:16.545565342Z,R3SP
SG,18,NA,2021-03-16T12:14:02.920405318Z,2021-03-16T12:14:10.170488133Z,R3SP
SG,4,NA,2021-03-16T12:14:02.295383353Z,2021-03-16T12:14:07.295460953Z,R3SP
A,23,5,2021-03-16T12:14:00.420432044Z,2021-03-16T12:14:02.795388702Z,R3SP
SG,24,NA,2021-03-16T12:13:54.420348393Z,2021-03-16T12:14:11.920495872Z,R3SP
SG,18,NA,2021-03-16T12:13:50.920357754Z,2021-03-16T12:13:56.670347709Z,R3SP
G,23,5,2021-03-16T12:13:49.795348402Z,2021-03-16T12:13:58.795357048Z,R3SP
G,23,5,2021-03-16T12:13:49.795348402Z,2021-03-16T12:13:58.795357048Z,R3SP
CR,4,17,2021-03-16T12:13:47.295273318Z,2021-03-16T12:13:49.170286550Z,R3SP
CR,4,17,2021-03-16T12:13:47.295273318Z,2021-03-16T12:13:49.170286550Z,R3SP
CR,7,21,2021-03-16T12:13:44.795260079Z,2021-03-16T12:14:15.670598152Z,R3SP
CR,7,21,2021-03-16T12:13:44.795260079Z,2021-03-16T12:14:15.670598152Z,R3SP
TB,22,NA,2021-03-16T12:13:43.170301773Z,2021-03-16T12:14:18.045628091Z,R3SP
SG,2,NA,2021-03-16T12:13:41.170274090Z,2021-03-16T12:13:43.420301112Z,R3SP
SG,6,NA,2021-03-16T12:13:38.420263386Z,2021-03-16T12:13:44.795260079Z,R3SP
G,23,5,2021-03-16T12:13:35.045248967Z,2021-03-16T12:13:45.295310756Z,R3SP
G,23,5,2021-03-16T12:13:35.045248967Z,2021-03-16T12:13:45.295310756Z,R3SP
G,18,5,2021-03-16T12:13:33.420223611Z,2021-03-16T12:13:45.295310756Z,R3SP
G,18,5,2021-03-16T12:13:33.420223611Z,2021-03-16T12:13:45.295310756Z,R3SP
SG,6,NA,2021-03-16T12:13:32.170227521Z,2021-03-16T12:13:34.795243632Z,R3SP
SG,2,NA,2021-03-16T12:13:29.170186622Z,2021-03-16T12:13:37.545256313Z,R3SP
SG,27,NA,2021-03-16T12:13:28.920124452Z,2021-03-16T12:14:09.045435141Z,R3SP
SG,23,NA,2021-03-16T12:13:24.045162556Z,2021-03-16T12:13:30.795216445Z,R3SP
SG,19,NA,2021-03-16T12:13:23.295151420Z,2021-03-16T12:14:10.045489750Z,R3SP
SG,11,NA,2021-03-16T12:13:22.420107077Z,2021-03-16T12:13:23.670127837Z,R3SP
SG,12,NA,2021-03-16T12:13:22.170095934Z,2021-03-16T12:13:45.670261028Z,R3SP
G,26,17,2021-03-16T12:13:22.045100744Z,2021-03-16T12:14:29.170660433Z,R3SP
G,26,17,2021-03-16T12:13:22.045100744Z,2021-03-16T12:14:29.170660433Z,R3SP
SG,29,NA,2021-03-16T12:13:21.920107455Z,2021-03-16T12:13:29.795189659Z,R3SP
SG,8,NA,2021-03-16T12:13:21.795172395Z,2021-03-16T12:13:48.545333662Z,R3SP
SG,22,NA,2021-03-16T12:13:21.670072093Z,2021-03-16T12:13:40.795287727Z,R3SP
